trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
24,True,"{'a': 0.0, 'e': 0.0}",25,10,-94.81793183231281,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
25,True,"{'a': 0.0, 'e': 0.0}",20,0,-94.87154618032953,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,-186.75001487412112,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
27,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.06427382238418,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",25,0,-18.21753798748977,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",30,0,-161.16164286717463,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",0
30,True,"{'a': 0.0, 'e': 0.0}",30,0,-40.23781139835956,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",25,0,-77.63400653087979,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
32,True,"{'a': 0.0, 'e': 0.0}",25,15,-28.423899661421185,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",30,0,-113.33217021674284,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
34,True,"{'a': 0.0, 'e': 0.0}",30,0,-249.02282210807806,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
35,True,"{'a': 0.0, 'e': 0.0}",25,0,-75.55047698518212,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
36,True,"{'a': 0.0, 'e': 0.0}",20,0,-119.74895436319346,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
37,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.0526330958206,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
