trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9999995000000417}",20,0,-76.98889305116012,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9999980000006666}",25,0,-154.2766457575441,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.999995500003375}",25,0,-115.78753641371866,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.9999920000106667}",20,0,-237.7439492479865,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
